State Name,Constituency Type,No Of Seats,Electors - Male,Electors - Female,Electors - Third Gender,Electors - Total,Electors - NRIs,Electors - Service,Voters - Male,Voters - Female,Voters - Third Gender,Voters - Postal,Voters - Total,Voters - NRIs,Voters - Poll %,Rejected Votes (Postal),Evm Rejected Votes,NOTA Votes,Valid Votes Polled,Tendered Votes
West Bengal,ST,2,1786649,1774168,81,3560898,1,7852,1443424,1456704,27,15831,2915986,0,81.89,1998,1756,37218,2875014,34
West Bengal,Total,42,38724016,37398991,1773,76124780,218,114774,30281951,29979442,568,292574,60554535,0,79.55,43976,26872,524954,59958733,259
Chhattisgarh,GEN,6,5891651,5933294,551,11825496,12,7654,4267639,4213361,131,21130,8502261,0,71.9,2388,12209,32018,8455646,142
Chhattisgarh,SC,1,1034274,1023959,27,2058260,0,2213,695289,693749,16,5899,1394953,0,67.77,855,1858,5137,1387103,23
Chhattisgarh,ST,4,3332348,3462409,154,6794911,3,10370,2551664,2618010,72,16347,5186093,0,76.32,2810,2225,98570,5082488,47
Chhattisgarh,Total,11,10258273,10419662,732,20678667,15,20237,7514592,7525120,219,43376,15083307,0,72.94,6053,16292,135725,14925237,212
Jharkhand,GEN,8,8280756,7823672,363,16104791,121,25513,5153752,5299411,142,106413,10559718,0,65.57,6661,15591,91101,10446365,7
Jharkhand,SC,1,1167828,1080253,1,2248082,0,5048,677291,696445,1,18298,1392035,0,61.92,1297,0,24343,1366395,0
Jharkhand,ST,5,3739904,3785058,57,7525019,7,14285,2554622,2715907,18,56892,5327439,0,70.8,3770,9884,80028,5233757,3
Jharkhand,Total,14,13188488,12688983,421,25877892,128,44846,8385665,8711763,161,181603,17279192,0,66.77,11728,25475,195472,17046517,10
Uttarakhand,GEN,4,3695485,3366892,292,7062669,44,64082,2111066,2007597,85,70419,4189167,0,59.31,14869,6187,36092,4132019,23
Uttarakhand,SC,1,712648,655779,5,1368432,4,29105,304933,347966,2,22113,675014,0,49.33,6028,489,17019,651478,1
Uttarakhand,Total,5,4408133,4022671,297,8431101,48,93187,2415999,2355563,87,92532,4864181,0,57.69,20897,6676,53111,4783497,24
Telangana,GEN,12,12420623,12460721,2028,24883372,3038,8715,7987959,7955553,615,152230,16096357,3,64.69,5857,8974,67220,16014306,53
Telangana,SC,3,2551427,2610728,539,5162694,330,3544,1780440,1766468,137,40578,3587623,0,69.49,1639,3520,18671,3563793,9
Telangana,ST,2,1556316,1629743,193,3186252,102,3711,1141402,1181066,83,25301,2347852,0,73.69,1380,2089,18353,2326030,7
Telangana,Total,17,16528366,16701192,2760,33232318,3470,15970,10909801,10903087,835,218109,22031832,3,66.3,8876,14583,104244,21904129,69
Andaman & Nicobar Islands,GEN,1,164572,151169,4,315745,0,597,105614,96376,2,605,202597,0,64.16,83,0,1809,200705,0
Andaman & Nicobar Islands,Total,1,164572,151169,4,315745,0,597,105614,96376,2,605,202597,0,64.16,83,0,1809,200705,0
Chandigarh,GEN,1,342176,318341,35,660552,43,747,234526,213995,27,835,449383,1,68.03,108,0,2912,446363,9
Chandigarh,Total,1,342176,318341,35,660552,43,747,234526,213995,27,835,449383,1,68.03,108,0,2912,446363,9
Dadra & Nagar Haveli and Daman & Diu,GEN,1,67710,66491,0,134201,64,12,44779,47500,0,169,92448,0,68.89,38,0,978,91432,3
Dadra & Nagar Haveli and Daman & Diu,ST,1,148106,134929,0,283035,0,11,106270,98987,0,368,205625,0,72.65,37,0,5151,200437,0
Dadra & Nagar Haveli and Daman & Diu,Total,2,215816,201420,0,417236,64,23,151049,146487,0,537,298073,0,71.44,75,0,6129,291869,3
NCT OF Delhi,GEN,6,6838356,5806042,966,12645364,623,10851,4036780,3394281,280,21922,7453263,0,58.94,1778,643,36303,7414539,111
NCT OF Delhi,SC,1,1385389,1183623,262,2569274,27,1851,809077,676284,64,4897,1490322,0,58.01,328,2787,8984,1478223,17
NCT OF Delhi,Total,7,8223745,6989665,1228,15214638,650,12702,4845857,4070565,344,26819,8943585,0,58.78,2106,3430,45287,8892762,128
Lakshadweep,ST,1,29445,28508,0,57953,0,169,24267,24363,0,617,49247,0,84.98,47,0,133,49067,1
Lakshadweep,Total,1,29445,28508,0,57953,0,169,24267,24363,0,617,49247,0,84.98,47,0,133,49067,1
Puducherry,GEN,1,480876,542997,151,1024024,368,325,377934,429685,105,3708,811432,20,79.24,257,3235,9763,798177,5
Puducherry,Total,1,480876,542997,151,1024024,368,325,377934,429685,105,3708,811432,20,79.24,257,3235,9763,798177,5
Jammu and Kashmir,GEN,5,4526515,4275667,166,8802348,0,76067,2701932,2409883,52,50999,5162866,0,58.65,8132,3541,34788,5116405,13
Jammu and Kashmir,Total,5,4526515,4275667,166,8802348,0,76067,2701932,2409883,52,50999,5162866,0,58.65,8132,3541,34788,5116405,13
Ladakh,GEN,1,98390,92186,0,190576,0,5768,65495,67119,0,3048,135662,0,71.19,138,0,912,134612,0
Ladakh,Total,1,98390,92186,0,190576,0,5768,65495,67119,0,3048,135662,0,71.19,138,0,912,134612,0
Grand Total,Grand Total,542,502437689,475479677,48194,977965560,119374,1916559,329361948,312764269,13058,4281594,646420869,2958,66.1,535825,522513,6371839,638990692,9634
